country,ratio,origin_id,origin_name,origin_type
US,0.08,6071223636402,Everyone Who Engaged With MTV Page,custom_audience
US,0.08,6071223547802,Everyone Who Engaged With Teyana Taylor Page,custom_audience
US,0.08,6071223510402,Everyone who engaged with Diamond White Page,custom_audience
US,0.08,6070776679602,Macys #SpringSummerFashion : People who have watched at 50% of the 30 second cutdowns,custom_audience
US,0.08,6070776595802,Macys #SpringSummerFashion : People who watched at 50% of the 60 second cutdowns,custom_audience
US,0.08,6070776428402,Macys #SpringSummerFashion : People who watched at 95% of the 30 second cutdowns,custom_audience
US,0.08,6070776332802,Macy's #SpringSummerFashion : People who watched at 95% of the 60 second cutdowns,custom_audience
US,0.01,91095669775,Chef Amanda Freitag,page
US,0.08,6070596842602,People Who Engaged With Any Amanda Freitag Post Or Ad,custom_audience
US,0.05,6070596842602,People Who Engaged With Any Amanda Freitag Post Or Ad,custom_audience
US,0.02,6070596842602,People Who Engaged With Any Amanda Freitag Post Or Ad,custom_audience
US,0.02,6070596694402,Anyone Who Visited Amanda Freitag Page,custom_audience
US,0.05,6070596694402,Anyone Who Visited Amanda Freitag Page,custom_audience
US,0.08,6070596694402,Anyone Who Visited Amanda Freitag Page,custom_audience
US,0.06,6070494447802,Everyone Who Engaged With Chef Amanda Freitag Page,custom_audience
US,0.02,6070494447802,Everyone Who Engaged With Chef Amanda Freitag Page,custom_audience
US,0.08,6070494447802,Everyone Who Engaged With Chef Amanda Freitag Page,custom_audience
US,0.02,772560912781673,Regina Hall,page
US,0.08,6070379436002,Everyone who engaged with Regina Hall Page,custom_audience
US,0.02,112826152102241,Sydney Leroux,page
US,0.02,286702050955,Official Kimora Lee Simmons,page
US,0.02,125321917195,Vanessa Williams,page
US,0.08,6070154904202,Everyone who engaged with Sydney Leroux page,custom_audience
US,0.08,6070154877202,Everyone who engaged with Kimora Lee Simmons Page,custom_audience
US,0.08,6070075120602,Everyone who engaged with Vanessa Williams page,custom_audience
US,0.1,6069959568602,Everyone who engaged with Louise Roe page,custom_audience
US,0.06,6069847212402,Everyone who engaged with Vashtie Kola page,custom_audience
US,0.06,6069847193802,Everyone who engaged with Jenn Im Clothes Encounters Page,custom_audience
US,0.06,6069847170402,Everyone who engaged with Sierra Furtado page,custom_audience
US,0.1,6069847738602,People who viewed at least 3 seconds of Jenn Im video,custom_audience
US,0.1,6069847647002,People who viewed at least 3 seconds of Sierra Furtado Video,custom_audience
US,0.1,6069847212402,Everyone who engaged with Vashtie Kola page,custom_audience
US,0.1,6069847193802,Everyone who engaged with Jenn Im Clothes Encounters Page,custom_audience
US,0.1,6069847170402,Everyone who engaged with Sierra Furtado page,custom_audience
US,0.08,6068891354002,Macys #SpringSummerFashion : People who saved the page or any post on Sierra Furtado page,custom_audience
US,0.08,6068891303002,Macys #SpringSummerFashion : People who engaged with any post or ad on Sierra Furtado Page,custom_audience
US,0.08,6068891188202,Macys #SpringSummerFashion : Anyone who visited Sierra Furtado Page,custom_audience
US,0.05,6067457516602,Programmatic : Bacardi (US) : 50% Video : 365 Days,custom_audience
US,0.08,6068069642002,Users who watched at 95% of Pantene Video,custom_audience
US,0.08,6068069424202,Everyone who engaged with Ashley Madekwe Page,custom_audience
US,0.08,158730629539,Ashley Madekwe,page
US,0.08,6068057560002,Everyone who engaged with Yvette Page,custom_audience
US,0.08,41883514074,Yvette Nicole Brown,page
US,0.08,6067992781202,Everyone who engaged with Retta Page,custom_audience
US,0.08,6067969036602,Everyone who engaged with Sherri Shepherd Page,custom_audience
US,0.08,432252546804472,Retta,page
US,0.08,213345512017057,Sherri Shepherd,page
US,0.08,6067937914402,Everyone who engaged with Laila Ali Page,custom_audience
US,0.08,6415897870,Laila Ali,page
US,0.08,6067936904602,Everyone who engaged with Nia Long Page,custom_audience
US,0.08,154862024723962,Nia Long,page
US,0.08,6067708773202,People who viewed 3 seconds of Eman Videos,custom_audience
US,0.08,6067708734202,People who saved the page or any post on Eman Page,custom_audience
US,0.08,6067708721402,People who engaged with any post or ad on Eman Page,custom_audience
US,0.08,6067708638202,Anyone who visited Eman Facebook page,custom_audience
US,0.08,6067708596002,Users who watched at 95% of Eman Video,custom_audience
US,0.08,6066627181002,Everyone who engaged with Makeup by Eman Page,custom_audience
US,0.08,311026642242849,Makeup By Eman,page
US,0.08,6066119563402,Users who completed the Long Form Videos,custom_audience
US,0.08,6066110836802,Lance Gross - Everyone who engaged with your Page,custom_audience
US,0.08,6066039958402,Lance Gross - Anyone who visited your Page,custom_audience
US,0.08,6066039826402,Lance Gross - People who engaged with any post or ad,custom_audience
US,0.08,6066039798002,Lance Gross - People who saved your Page or any Post,custom_audience
US,0.08,6065044927802,People who watched at 50% of the Sam Tsui Video,custom_audience
US,0.08,6065044824602,People who saved Sam Tsui page or any post,custom_audience
US,0.08,6065044723202,People who watched at 75% of Sam Tsui Video,custom_audience
US,0.08,6065044677402,People who Engaged with any post or ad on Sam Tsui Page,custom_audience
US,0.08,6065044658802,People who visited Sam Tsui Page,custom_audience
US,0.08,6065044642202,People who Engaged With Sam Tsui Page,custom_audience
US,0.08,6065044470602,People who watched at 95% of Sam Tsui Video,custom_audience
US,0.05,6064636107602,People who engaged with Garcelle's page,custom_audience
US,0.05,6064635980202,People who watched 95% of Garcelle Video,custom_audience
US,0.05,6063930287002,BET New Edition : People who viewed at least 3 seconds of your video,custom_audience
US,0.05,6063670071602,Gregg Sulkin : Video Completion 95% McDonald's,custom_audience
US,0.05,6063572796602,"Custom Audience, People Who Viewed At Least 25% Of Norman Full Video",custom_audience
US,0.05,6063572757402,"Custom Audience, People Who Viewed At Least 3 Seconds Of Norman Video",custom_audience
US,0.08,6062995807002,Kandee Johnson : Everyone who engaged with your Page L365D,custom_audience
US,0.1,6062025421802,Issa Rae : Anyone who watched 95% of the Video,custom_audience
